X,Y,Name,description
-3.64522528355658,40.3897687003524,1 ALTO DEL ARENAL,
-3.70331780707969,40.4503310541334,1 ALVARADO,
-3.69937574167324,40.4124630281881,1 ANTON MARTIN,
-3.69249088356661,40.4088467929565,1 ATOCHA,
-3.68937999371553,40.4065860907261,1 ATOCHA RENFE,
-3.67637727624471,40.4768070559377,1 BAMBU,
-3.7021882958863,40.4290496358293,1 BILBAO,
-3.65391434000143,40.3915577460413,1 BUENOS AIRES,
-3.68259327811545,40.4720227901636,1 CHAMARTIN,
-3.61885058409944,40.3723811074502,1 CONGOSTO,
-3.70397847665402,40.4469666780076,1 CUATRO CAMINOS,
-3.70302874939647,40.4542787492278,1 ESTRECHO,
-3.70181136384899,40.4200068573887,1 GRAN VIA,
-3.69898345337739,40.434915911434,1 IGLESIA,
-3.61347110393631,40.3701845118838,1 LA GAVIA,
-3.59953388822031,40.3632214581131,1 LAS SUERTES,
-3.68099094552854,40.4044466012139,1 MENENDEZ PELAYO,
-3.63951122538624,40.3873139298278,1 MIGUEL HERNANDEZ,
-3.66414535178604,40.3955355087629,1 NUEVA NUMANCIA,
-3.67513736368028,40.4012556807122,1 PACIFICO,
-3.66680704372163,40.4801329174913,1 PINAR DE CHAMARTIN,
-3.68918234066155,40.4668936234668,1 PLAZA DE CASTILLA,
-3.65868521148669,40.3926568047608,1 PORTAZGO,
-3.6690617034429,40.3981918732199,1 PUENTE DE VALLECAS,
-3.70133228732117,40.4419737585179,1 RIOS ROSAS,
-3.62472451669916,40.3821604644665,1 SIERRA DE GUADALUPE,
-3.70326394724882,40.4168718937705,1 SOL,
-3.69825834158428,40.4605508884216,1 TETUAN,
-3.70466647457877,40.4123408131972,1 TIRSO DE MOLINA,
-3.70110928954684,40.4261823050295,1 TRIBUNAL,
-3.6950664665124,40.4644169583289,1 VALDEACEDERAS,
-3.59316983665114,40.3600650313779,1 VALDECARROS,
-3.6213080158896,40.3795932530299,1 VILLA DE VALLECAS,
-3.69644159817345,40.4285258379178,10A ALONSO MARTINEZ,
-3.78392541868003,40.3836322712829,10A AVIACION ESPAÑOLA,
-3.75311658343704,40.4078551777336,10A BATAN,
-3.68585190044234,40.4804088560124,10A BEGOÑA,
-3.76101928089024,40.4031998121279,10A CASA DE CAMPO,
-3.68259400787308,40.4720948575639,10A CHAMARTIN,
-3.7746180160606,40.3969743480001,10A COLONIA JARDIN,
-3.79152547976571,40.3776975769265,10A CUATRO VIENTOS,
-3.68986237971902,40.4584211291856,10A CUZCO,
-3.69283383964543,40.4950788063147,10A FUENCARRAL,
-3.69127589764148,40.437529826448,10A GREGORIO MARAÑON,
-3.80720227856311,40.3498412159701,10A JOAQUIN VILUMBRALES,
-3.735637717084,40.4164091776535,10A LAGO,
-3.69241808626918,40.4465770429026,10A NUEVOS MINISTERIOS,
-3.68908798061129,40.4668941860567,10A PLAZA DE CASTILLA,
-3.70970471121293,40.424084809965,10A PLAZA DE ESPAÑA,
-3.72032866600426,40.4210281070895,10A PRINCIPE PIO,
-3.81211623315418,40.3452391960158,10A PUERTA DEL SUR,
-3.69038206869723,40.4515802047538,10A SANTIAGO BERNABEU,
-3.69520994941814,40.5011996112781,10A TRES OLIVOS,
-3.70208571480475,40.4259871898557,10A TRIBUNAL,
-3.63513382613712,40.5544185850798,10B BAUNATAL,
-3.61146575886278,40.5597624017078,10B HOSPITAL INFANTA SOFIA,
-3.65859953202572,40.5275939331866,10B LA GRANJA,
-3.63557100436178,40.5319480654032,10B LA MORALEJA,
-3.66944678717465,40.5083246283286,10B LAS TABLAS,
-3.64688338685137,40.5504795886156,10B MANUEL DE FALLA,
-3.63739261474087,40.5410189793584,10B MARQUES DE LA VALDAVIA,
-3.69575927761547,40.5052503155937,10B MONTECARMELO,
-3.6234033337323,40.5503744395571,10B REYES CATOLICOS,
-3.66277826042536,40.5155341582341,10B RONDA DE LA COMUNICACION,
-3.69520994941814,40.5011996112781,10B TRES OLIVOS,
-3.72791115890327,40.3808272388211,11 ABRANTES,
-3.75191626374229,40.371997889606,11 CARABANCHEL ALTO,
-3.77783377967118,40.3579524593983,11 LA FORTUNA,
-3.75690602399076,40.3642175126057,11 LA PESETA,
-3.73417167842901,40.375859688052,11 PAN BENDITO,
-3.71825572000441,40.3845993588632,11 PLAZA ELIPTICA,
-3.73910622280992,40.3735939992644,11 SAN FRANCISCO,
-3.8317801693487,40.3500814876978,12 ALCORCON CENTRAL,
-3.73664150358804,40.300806750054,12 ALONSO DE MENDOZA,
-3.75682804968743,40.2887392474274,12 ARROYO CULEBRO,
-3.75942841685175,40.3265968510738,12 CASA DEL RELOJ,
-3.7457717181822,40.2932435802133,12 CONSERVATORIO,
-3.72963847686186,40.329067914203,12 EL BERCIAL,
-3.74018613423199,40.3366316591144,12 EL CARRASCAL,
-3.70985858020827,40.3186232183558,12 EL CASAR,
-3.79890936914601,40.2826724093976,12 FUENLABRADA CENTRAL,
-3.73403382028552,40.3099226207448,12 GETAFE CENTRAL,
-3.81642706635241,40.2857483935492,12 HOSPITAL DE FUENLABRADA,
-3.87471502855707,40.3165211217991,12 HOSPITAL DE MOSTOLES,
-3.76797843049276,40.3217655451045,12 HOSPITAL SEVERO OCHOA,
-3.72225014982508,40.3117986292309,12 JUAN DE LA CIERVA,
-3.75266802486768,40.3347402711955,12 JULIAN BESTEIRO,
-3.77154456390089,40.3289761704424,12 LEGANES CENTRAL,
-3.83769190760879,40.2968038153401,12 LORANCA,
-3.71820388180328,40.3242204657689,12 LOS ESPARTALES,
